caseid,weight,MDregvote,likelyvoter,Question25_treat,Question29_30_order,Question1,Question2,Question3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,Question14,Question14_other,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22_1,Question22_2,Question22_3,Question22_4,Question22_5,Question22_6,Question22_7,Question22_8,Question22_9,Question22_99,Question23,Question24,Question25a,Question25b,Question26_1,Question26_2,Question26_3,Question26_4,Question26_5,Question26_6,Question26_7,Question26_8,Question26_9,Question26_10,Question26_19,Question26_99,Question27,Question28,Question29,Question30,urbanicity2,birthyr,gender,race,hispanic,educ,marstat,employ,ownhome,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,inputzip,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1893914130.0,0.65633040320805,Yes,Almost certain,Question25a,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,No opinion,Very favorable,Somewhat favorable,Never heard,Somewhat unfavorable,Climate,__NA__,Very enthusiastic,Abortion should be legal and generally available,Excellent,Better off than a year ago,Never,2.0,2.0,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,No,97.0,Three of these statements,not asked,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Neither,Strongly favor,Strongly oppose,not asked,1970.0,Male,White,No,Post-grad,Married,Full-time,Own,"$200,000 - $249,999",No,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,Maryland,20782.0,Yes,Moderate,Most of the time,Something else,Seldom,No,Not at all important,Seldom,2024-10-22T18:51:50.668,2024-10-22T19:04:03.266
1893488610.0,1.69167593707341,Yes,Almost certain,Question25a,Question29 first,Donald Trump (Republican),Larry Hogan (Republican),Would not vote on that ballot measure,No opinion,Very favorable,Very unfavorable,Very favorable,Somewhat unfavorable,No opinion,Somewhat favorable,Very favorable,Somewhat favorable,No opinion,The economy/inflation,__NA__,Somewhat enthusiastic,"Abortion should be legal within rare cases, i.e., rape, incest, life of the mother",Fair,Worse off than a year ago,Frequently,72.0,76.0,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,No,52.0,Two of these statements,not asked,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,Their pay is about right,Israelis,Neither favor nor oppose,Strongly favor,not asked,1950.0,Male,White,No,4-year,Widowed,Retired,Own,"$60,000 - $69,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Maryland,20716.0,Yes,Very conservative,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,Several times a day,2024-10-22T16:34:41.735,2024-10-22T19:09:11.540
1893955346.0,0.594907950157281,Yes,Almost certain,Question25a,Question29 first,Undecided,Angela Alsobrooks (Democrat),Yes,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Very unfavorable,Very unfavorable,Very favorable,Climate,__NA__,Not at all enthusiastic,Abortion should be legal and generally available,Fair,About the same as a year ago,Occasionally,1.0,1.0,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,60.0,Three of these statements,not asked,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Palestinians,Strongly favor,Strongly oppose,not asked,2001.0,Female,White,No,4-year,Never married,Full-time,Rent,"$60,000 - $69,999",No,Independent,Lean Democrat,Did not vote for President,Joe Biden,Maryland,20910.0,Yes,Very liberal,Most of the time,Atheist,Never,No,Not at all important,Never,2024-10-22T19:12:03.196,2024-10-22T19:17:04.913
1893953812.0,0.590696985292131,Yes,Almost certain,Question25b,Question30 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Never heard,Somewhat favorable,Somewhat unfavorable,Never heard,Somewhat favorable,Climate,__NA__,Very enthusiastic,Abortion should be legal and generally available,Good,Better off than a year ago,Rarely,0.0,0.0,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,No,100.0,not asked,Three of these statements,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,"They should be paid more, but less than the minimum wage ($15/hr)",Both equally,Somewhat favor,Somewhat favor,not asked,1965.0,Female,White,No,Post-grad,Married,Retired,Own,"$120,000 - $149,999",No,Independent,Lean Democrat,Other,Joe Biden,Maryland,20657.0,Yes,Moderate,Some of the time,Nothing in particular,Never,No,Not at all important,A few times a week,2024-10-22T19:03:03.152,2024-10-22T19:20:42.337
1893978874.0,1.29823017638797,Yes,Almost certain,Question25b,Question30 first,Donald Trump (Republican),Larry Hogan (Republican),Yes,Very unfavorable,Very favorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Immigration,__NA__,Not too enthusiastic,"Abortion should be legal within rare cases, i.e., rape, incest, life of the mother",Poor,Worse off than a year ago,Occasionally,29.0,don't know,selected,not selected,selected,selected,selected,selected,selected,selected,not selected,not selected,No,don't know,not asked,Three of these statements,selected,not selected,not selected,selected,selected,not selected,not selected,selected,selected,selected,not selected,not selected,Their pay is about right,Israelis,Strongly oppose,Strongly favor,not asked,1941.0,Female,White,No,Some college,Divorced,Retired,Own,"$30,000 - $39,999",No,Independent,Lean Republican,Donald Trump,Donald Trump,Maryland,21146.0,Yes,Conservative,Some of the time,Protestant,A few times a year,No,Very important,Several times a day,2024-10-22T19:41:42.928,2024-10-22T19:54:25.321
1893824962.0,0.368601562800285,Yes,Almost certain,Question25a,Question29 first,Undecided,Undecided,Undecided,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Crime,__NA__,Not sure,Not sure,Not sure/prefer not to say,Not sure,Never,don't know,don't know,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,don't know,All four of these statements,not asked,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,Not sure,Not sure/No Opinion,Not sure,Not sure,not asked,1955.0,Male,White,No,Some college,Never married,Retired,Rent,"$20,000 - $29,999",No,Independent,Lean Democrat,Hillary Clinton,Joe Biden,Maryland,20904.0,Yes,Moderate,Don't know,Something else,Once a week,Yes,Very important,Once a day,2024-10-22T20:13:14.940,2024-10-22T20:21:38.288
1897431520.0,0.550686428606322,Yes,Almost certain,Question25b,Question30 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Very favorable,Somewhat unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Other,Trump,Very enthusiastic,Abortion should be legal and generally available,Good,About the same as a year ago,Never,1.0,5.0,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,98.0,not asked,Four of these statements,selected,selected,not selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Both equally,Strongly favor,Somewhat favor,not asked,1971.0,Male,White,No,4-year,Married,Full-time,Own,"$100,000 - $119,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Maryland,21784.0,Yes,Liberal,Most of the time,Protestant,Seldom,No,Not too important,A few times a month,2024-10-24T16:09:50.933,2024-10-24T16:18:49.299
1897430364.0,0.633570412244099,Yes,Almost certain,Question25b,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Somewhat favorable,Very unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,No opinion,Very favorable,Climate,__NA__,Very enthusiastic,"Abortion should not be legal at all, with no exceptions",Good,Better off than a year ago,Never,5.0,7.0,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,60.0,not asked,Three of these statements,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,"They should be paid more, but less than the minimum wage ($15/hr)",Both equally,Strongly favor,Somewhat favor,not asked,1974.0,Male,White,No,Some college,Married,Full-time,Own,"$350,000 - $499,999",No,Independent,Lean Democrat,Hillary Clinton,Joe Biden,Maryland,21784.0,Yes,Moderate,Most of the time,Nothing in particular,Never,No,Not at all important,Never,2024-10-24T16:05:57.655,2024-10-24T16:18:41.396
1897280542.0,1.51111660107882,Yes,Almost certain,Question25a,Question29 first,Donald Trump (Republican),Larry Hogan (Republican),No,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,No opinion,Very favorable,Somewhat favorable,Somewhat unfavorable,Immigration,__NA__,Somewhat enthusiastic,"Abortion should be legal within rare cases, i.e., rape, incest, life of the mother",Good,About the same as a year ago,Rarely,20.0,20.0,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,No,60.0,Three of these statements,not asked,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,selected,selected,not selected,not selected,"They should be paid more, but less than the minimum wage ($15/hr)",Both equally,Somewhat favor,Strongly favor,not asked,1942.0,Male,White,No,4-year,Married,Retired,Own,"$120,000 - $149,999",No,Independent,Lean Republican,Donald Trump,Donald Trump,Maryland,21090.0,Yes,Conservative,Most of the time,Protestant,Seldom,No,Not too important,Seldom,2024-10-24T16:07:45.189,2024-10-24T16:22:18.652
1897432116.0,0.65633040320805,Yes,Almost certain,Question25b,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Never heard,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,US Supreme court appointments,__NA__,Very enthusiastic,Abortion should be legal and generally available,Excellent,Better off than a year ago,Never,1.0,1.0,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,80.0,not asked,Three of these statements,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Israelis,Strongly favor,Somewhat favor,not asked,1977.0,Male,White,No,Post-grad,Divorced,Full-time,Own,"$350,000 - $499,999",Yes,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Maryland,20850.0,Yes,Liberal,Most of the time,Agnostic,Never,No,Not at all important,Never,2024-10-24T16:16:48.026,2024-10-24T16:25:33.757
1897237958.0,0.611906525423545,Yes,Almost certain,Question25a,Question30 first,Donald Trump (Republican),Larry Hogan (Republican),No,Very unfavorable,Somewhat favorable,Very unfavorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Immigration,__NA__,Very enthusiastic,"Abortion should be legal within rare cases, i.e., rape, incest, life of the mother",Fair,Worse off than a year ago,Rarely,10.0,25.0,selected,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,No,50.0,Three of these statements,not asked,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,They should not be paid at all,Israelis,Strongly oppose,Strongly favor,not asked,1942.0,Male,White,No,4-year,Never married,Retired,Rent,"$60,000 - $69,999",No,Independent,Lean Democrat,Did not vote for President,Donald Trump,Maryland,21234.0,Yes,Conservative,Most of the time,Something else,More than once a week,No,Very important,Several times a day,2024-10-24T16:07:58.904,2024-10-24T16:25:46.472
1897534996.0,0.893945735149804,Yes,Almost certain,Question25a,Question30 first,Donald Trump (Republican),Angela Alsobrooks (Democrat),Yes,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Never heard,Very favorable,Somewhat unfavorable,Very unfavorable,Immigration,__NA__,Somewhat enthusiastic,Abortion should be legal and generally available,Fair,About the same as a year ago,Never,42.0,25.0,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,No,10.0,Three of these statements,not asked,not selected,selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,Their pay is about right,Israelis,Not sure,Somewhat favor,not asked,1965.0,Male,White,No,Some college,Married,Full-time,Own,"$150,000 - $199,999",No,Independent,Independent,Donald Trump,Donald Trump,Maryland,21220.0,Yes,Moderate,Some of the time,Roman Catholic,A few times a year,No,Very important,Once a day,2024-10-24T16:25:21.642,2024-10-24T16:39:56.185
1897815992.0,1.18600954220251,Yes,Almost certain,Question25a,Question29 first,Donald Trump (Republican),Larry Hogan (Republican),Yes,Very favorable,Very favorable,Very unfavorable,Very favorable,Somewhat favorable,No opinion,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Crime,__NA__,Very enthusiastic,Abortion should be legal with accessibility restrictions,Good,About the same as a year ago,Rarely,15.0,don't know,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,don't know,None of these statements,not asked,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,Not sure,Israelis,Not sure,Somewhat favor,not asked,1967.0,Male,White,No,High school graduate,Divorced,Full-time,Own,"$70,000 - $79,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Maryland,20720.0,Yes,Moderate,Some of the time,Protestant,Never,No,Not at all important,Never,2024-10-24T16:36:32.675,2024-10-24T16:42:31.818
1897828312.0,0.238394485647286,Yes,Very likely,Question25a,Question30 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,LGBTQ+ Rights,__NA__,Very enthusiastic,Abortion should be legal with accessibility restrictions,Good,About the same as a year ago,Frequently,54.0,53.0,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,Yes,50.0,All four of these statements,not asked,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,They should not be paid at all,Neither,Somewhat favor,Strongly favor,not asked,1980.0,Male,Asian,Yes,4-year,Married,Full-time,Rent,"$70,000 - $79,999",Yes,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,Maryland,21117.0,Yes,Liberal,Some of the time,Roman Catholic,More than once a week,Yes,Very important,Several times a day,2024-10-24T16:29:17.948,2024-10-24T16:47:45.911
1897815994.0,1.15503650246339,Yes,Almost certain,Question25a,Question30 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Somewhat favorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Never heard,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Very favorable,Other,Housing costs,Somewhat enthusiastic,Abortion should be legal and generally available,Fair,About the same as a year ago,Rarely,don't know,don't know,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,No,65.0,Three of these statements,not asked,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Palestinians,Strongly favor,Strongly oppose,not asked,1983.0,Female,Two or more races,No,4-year,Married,Full-time,Rent,"$80,000 - $99,999",No,Independent,Lean Democrat,Jill Stein,Other,Maryland,20886.0,Yes,Very liberal,Most of the time,Atheist,Never,No,Not at all important,Never,2024-10-24T16:43:01.711,2024-10-24T16:49:35.174
1897815968.0,1.45477928765889,Yes,Almost certain,Question25b,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Never heard,Somewhat favorable,Somewhat favorable,No opinion,Somewhat favorable,The economy/inflation,__NA__,Very enthusiastic,Abortion should be legal and generally available,Good,About the same as a year ago,Never,2.0,5.0,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,79.0,not asked,Three of these statements,selected,selected,not selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Both equally,Strongly favor,Somewhat oppose,not asked,1999.0,Male,White,No,4-year,Never married,Full-time,Rent,"$40,000 - $49,999",No,Democrat,Strong Democrat,Did not vote for President,Joe Biden,Maryland,20910.0,Yes,Liberal,Most of the time,Atheist,Never,No,Not at all important,Never,2024-10-24T16:44:33.901,2024-10-24T16:50:13.239
